,Time,External Sound,Ambient Temp.,Target Temp.
16079,2023-06-01 01:56:39,529,29.91,29.35
16080,2023-06-01 01:56:39,554,29.91,29.35
16081,2023-06-01 01:56:39,464,29.91,29.35
16082,2023-06-01 01:56:39,589,29.91,29.35
16083,2023-06-01 01:56:39,317,29.91,29.35
16084,2023-06-01 01:56:39,506,29.91,29.35
16085,2023-06-01 01:56:39,521,29.91,29.35
16086,2023-06-01 01:56:39,440,29.91,29.35
16087,2023-06-01 01:56:39,714,29.91,29.35
16088,2023-06-01 01:56:39,399,29.91,29.35
16089,2023-06-01 01:56:39,583,29.91,29.35
16090,2023-06-01 01:56:39,454,29.91,29.35
16091,2023-06-01 01:56:39,419,29.91,29.35
16092,2023-06-01 01:56:39,560,29.91,29.35
16093,2023-06-01 01:56:39,426,29.91,29.35
16094,2023-06-01 01:56:39,698,29.91,29.35
16095,2023-06-01 01:56:39,579,29.91,29.35
16096,2023-06-01 01:56:39,411,29.91,29.35
16097,2023-06-01 01:56:39,525,29.91,29.35
16098,2023-06-01 01:56:39,369,29.91,29.35
16099,2023-06-01 01:56:39,557,29.91,29.35
16100,2023-06-01 01:56:39,494,29.91,29.35
16101,2023-06-01 01:56:39,633,29.91,29.35
16102,2023-06-01 01:56:39,440,29.91,29.35
16103,2023-06-01 01:56:39,523,29.91,29.35
16104,2023-06-01 01:56:39,466,29.91,29.35
16105,2023-06-01 01:56:39,314,29.91,29.35
16106,2023-06-01 01:56:39,599,29.91,29.35
16107,2023-06-01 01:56:39,503,29.91,29.35
16108,2023-06-01 01:56:39,658,29.91,29.35
16109,2023-06-01 01:56:39,542,29.91,29.35
16110,2023-06-01 01:56:39,396,29.91,29.35
16111,2023-06-01 01:56:39,462,29.89,29.35
16112,2023-06-01 01:56:39,401,29.89,29.35
16113,2023-06-01 01:56:39,561,29.89,29.35
16114,2023-06-01 01:56:39,645,29.89,29.35
16115,2023-06-01 01:56:39,439,29.89,29.35
16116,2023-06-01 01:56:39,583,29.89,29.35
16117,2023-06-01 01:56:39,458,29.89,29.35
16118,2023-06-01 01:56:39,461,29.89,29.35
16119,2023-06-01 01:56:39,526,29.89,29.35
16120,2023-06-01 01:56:39,387,29.89,29.35
16121,2023-06-01 01:56:39,633,29.89,29.35
16122,2023-06-01 01:56:39,531,29.89,29.35
16123,2023-06-01 01:56:39,566,29.89,29.35
16124,2023-06-01 01:56:39,400,29.89,29.35
16125,2023-06-01 01:56:39,454,29.89,29.35
16126,2023-06-01 01:56:39,416,29.89,29.35
16127,2023-06-01 01:56:39,474,29.89,29.35
16128,2023-06-01 01:56:39,639,29.89,29.35
16129,2023-06-01 01:56:39,472,29.89,29.35
16130,2023-06-01 01:56:39,540,29.89,29.35
16131,2023-06-01 01:56:39,485,29.89,29.35
16132,2023-06-01 01:56:39,371,29.89,29.35
16133,2023-06-01 01:56:39,578,29.89,29.35
16134,2023-06-01 01:56:39,419,29.89,29.35
16135,2023-06-01 01:56:39,648,29.89,29.31
16136,2023-06-01 01:56:39,615,29.89,29.31
16137,2023-06-01 01:56:39,467,29.89,29.31
16138,2023-06-01 01:56:39,589,29.89,29.31
16139,2023-06-01 01:56:39,294,29.89,29.31
16140,2023-06-01 01:56:39,542,29.89,29.31
16141,2023-06-01 01:56:39,367,29.89,29.31
16142,2023-06-01 01:56:39,525,29.89,29.31
16143,2023-06-01 01:56:39,695,29.89,29.31
16144,2023-06-01 01:56:39,442,29.89,29.31
16145,2023-06-01 01:56:39,511,29.89,29.31
16146,2023-06-01 01:56:39,308,29.89,29.31
16147,2023-06-01 01:56:39,579,29.89,29.31
16148,2023-06-01 01:56:39,446,29.89,29.31
16149,2023-06-01 01:56:39,651,29.89,29.31
16150,2023-06-01 01:56:39,605,29.89,29.31
16151,2023-06-01 01:56:39,408,29.89,29.31
16152,2023-06-01 01:56:39,551,29.89,29.31
16153,2023-06-01 01:56:39,336,29.89,29.31
16154,2023-06-01 01:56:39,519,29.89,29.31
16155,2023-06-01 01:56:39,560,29.89,29.31
16156,2023-06-01 01:56:39,486,29.89,29.31
16157,2023-06-01 01:56:39,627,29.89,29.31
16158,2023-06-01 01:56:39,419,29.89,29.31
16159,2023-06-01 01:56:39,493,29.89,29.31
16160,2023-06-01 01:56:39,483,29.89,29.31
16161,2023-06-01 01:56:39,420,29.89,29.31
16162,2023-06-01 01:56:39,585,29.89,29.31
16163,2023-06-01 01:56:39,524,29.89,29.31
16164,2023-06-01 01:56:39,576,29.89,29.31
16165,2023-06-01 01:56:39,577,29.89,29.31
16166,2023-06-01 01:56:39,325,29.89,29.31
16167,2023-06-01 01:56:39,511,29.89,29.31
16168,2023-06-01 01:56:39,451,29.89,29.31
16169,2023-06-01 01:56:39,574,29.89,29.31
16170,2023-06-01 01:56:39,500,29.97,29.31
16171,2023-06-01 01:56:39,614,29.97,29.31
16172,2023-06-01 01:56:39,514,29.97,29.31
16173,2023-06-01 01:56:39,378,29.97,29.31
16174,2023-06-01 01:56:39,530,29.97,29.31
16175,2023-06-01 01:56:39,396,29.97,29.31
16176,2023-06-01 01:56:39,613,29.97,29.31
16177,2023-06-01 01:56:39,653,29.97,29.31
16178,2023-06-01 01:56:39,504,29.97,29.31
16179,2023-06-01 01:56:39,610,29.97,29.31
16180,2023-06-01 01:56:39,325,29.97,29.31
16181,2023-06-01 01:56:39,524,29.97,29.31
16182,2023-06-01 01:56:39,513,29.97,29.31
16183,2023-06-01 01:56:39,462,29.97,29.31
