,Time,External Sound,Ambient Temp.,Target Temp.
24054,2023-06-01 02:01:58,397,30.61,30.05
24055,2023-06-01 02:01:58,602,30.61,30.05
24056,2023-06-01 02:01:58,537,30.61,30.05
24057,2023-06-01 02:01:58,412,30.61,30.05
24058,2023-06-01 02:01:58,591,30.61,30.05
24059,2023-06-01 02:01:58,306,30.61,30.05
24060,2023-06-01 02:01:58,534,30.61,30.05
24061,2023-06-01 02:01:58,508,30.61,30.05
24062,2023-06-01 02:01:58,496,30.61,30.05
24063,2023-06-01 02:01:58,640,30.61,30.05
24064,2023-06-01 02:01:58,426,30.61,30.05
24065,2023-06-01 02:01:58,543,30.61,30.05
24066,2023-06-01 02:01:58,457,30.61,30.05
24067,2023-06-01 02:01:58,408,30.61,30.05
24068,2023-06-01 02:01:58,571,30.61,30.05
24069,2023-06-01 02:01:58,499,30.61,30.05
24070,2023-06-01 02:01:58,612,30.61,30.05
24071,2023-06-01 02:01:58,565,30.61,30.05
24072,2023-06-01 02:01:58,392,30.61,29.99
24073,2023-06-01 02:01:58,493,30.61,29.99
24074,2023-06-01 02:01:58,386,30.61,29.99
24075,2023-06-01 02:01:58,596,30.61,29.99
24076,2023-06-01 02:01:58,481,30.61,29.99
24077,2023-06-01 02:01:58,608,30.61,29.99
24078,2023-06-01 02:01:58,487,30.61,29.99
24079,2023-06-01 02:01:58,495,30.61,29.99
24080,2023-06-01 02:01:58,542,30.61,29.99
24081,2023-06-01 02:01:58,369,30.61,29.99
24082,2023-06-01 02:01:58,601,30.61,29.99
24083,2023-06-01 02:01:58,618,30.61,29.99
24084,2023-06-01 02:01:58,587,30.61,29.99
24085,2023-06-01 02:01:58,601,30.61,29.99
24086,2023-06-01 02:01:58,362,30.61,29.99
24087,2023-06-01 02:01:58,352,30.61,29.99
24088,2023-06-01 02:01:58,344,30.61,29.99
24089,2023-06-01 02:01:58,581,30.61,29.99
24090,2023-06-01 02:01:58,554,30.61,29.99
24091,2023-06-01 02:01:58,517,30.61,29.99
24092,2023-06-01 02:01:58,565,30.61,29.99
24093,2023-06-01 02:01:58,368,30.61,29.99
24094,2023-06-01 02:01:58,475,30.61,29.99
24095,2023-06-01 02:01:58,586,30.61,29.99
24096,2023-06-01 02:01:58,375,30.61,29.99
24097,2023-06-01 02:01:58,653,30.61,29.99
24098,2023-06-01 02:01:58,417,30.61,29.99
24099,2023-06-01 02:01:58,589,30.61,29.99
24100,2023-06-01 02:01:58,372,30.61,29.99
24101,2023-06-01 02:01:58,457,30.61,29.99
24102,2023-06-01 02:01:58,386,30.61,29.99
24103,2023-06-01 02:01:58,426,30.61,29.99
24104,2023-06-01 02:01:58,685,30.61,29.99
24105,2023-06-01 02:01:58,436,30.61,29.99
24106,2023-06-01 02:01:58,570,30.61,29.99
24107,2023-06-01 02:01:58,517,30.61,29.99
24108,2023-06-01 02:01:58,336,30.59,29.99
24109,2023-06-01 02:01:58,564,30.59,29.99
24110,2023-06-01 02:01:58,406,30.59,29.99
24111,2023-06-01 02:01:58,680,30.59,29.99
