,Time,External Sound,Ambient Temp.,Target Temp.
1114,2023-06-01 00:12:03,507,32.75,32.17
1115,2023-06-01 00:12:03,631,32.75,32.17
1116,2023-06-01 00:12:03,445,32.75,32.17
1117,2023-06-01 00:12:03,403,32.75,32.17
1118,2023-06-01 00:12:03,481,32.75,32.17
1119,2023-06-01 00:12:03,272,32.75,32.17
1120,2023-06-01 00:12:03,585,32.75,32.17
1121,2023-06-01 00:12:03,507,32.75,32.17
1122,2023-06-01 00:12:03,595,32.75,32.17
1123,2023-06-01 00:12:03,593,32.75,32.17
1124,2023-06-01 00:12:03,497,32.75,32.17
1125,2023-06-01 00:12:03,369,32.75,32.17
1126,2023-06-01 00:12:03,396,32.75,32.17
1127,2023-06-01 00:12:03,562,32.75,32.17
1128,2023-06-01 00:12:03,548,32.75,32.17
1129,2023-06-01 00:12:03,603,32.75,32.17
1130,2023-06-01 00:12:03,539,32.75,32.17
1131,2023-06-01 00:12:03,329,32.77,32.17
1132,2023-06-01 00:12:03,543,32.77,32.17
1133,2023-06-01 00:12:03,392,32.77,32.17
1134,2023-06-01 00:12:03,563,32.77,32.17
1135,2023-06-01 00:12:03,714,32.77,32.17
1136,2023-06-01 00:12:03,391,32.77,32.17
1137,2023-06-01 00:12:03,634,32.77,32.17
1138,2023-06-01 00:12:03,372,32.77,32.17
1139,2023-06-01 00:12:03,490,32.77,32.17
1140,2023-06-01 00:12:03,554,32.77,32.17
1141,2023-06-01 00:12:03,405,32.77,32.17
1142,2023-06-01 00:12:03,684,32.77,32.17
1143,2023-06-01 00:12:03,446,32.77,32.17
1144,2023-06-01 00:12:03,550,32.77,32.17
1145,2023-06-01 00:12:03,366,32.77,32.17
1146,2023-06-01 00:12:03,545,32.77,32.17
1147,2023-06-01 00:12:03,463,32.77,32.17
1148,2023-06-01 00:12:03,508,32.77,32.17
1149,2023-06-01 00:12:03,711,32.77,32.17
1150,2023-06-01 00:12:03,429,32.77,32.17
1151,2023-06-01 00:12:03,591,32.77,32.17
1152,2023-06-01 00:12:03,447,32.77,32.17
1153,2023-06-01 00:12:03,387,32.77,32.17
1154,2023-06-01 00:12:03,618,32.77,32.13
1155,2023-06-01 00:12:03,398,32.77,32.13
1156,2023-06-01 00:12:03,703,32.77,32.13
1157,2023-06-01 00:12:03,527,32.77,32.13
1158,2023-06-01 00:12:03,500,32.77,32.13
1159,2023-06-01 00:12:03,540,32.77,32.13
1160,2023-06-01 00:12:03,352,32.77,32.13
1161,2023-06-01 00:12:03,573,32.77,32.13
1162,2023-06-01 00:12:03,457,32.77,32.13
1163,2023-06-01 00:12:03,577,32.77,32.13
1164,2023-06-01 00:12:03,634,32.77,32.13
1165,2023-06-01 00:12:03,362,32.77,32.13
1166,2023-06-01 00:12:03,472,32.77,32.13
1167,2023-06-01 00:12:03,312,32.77,32.13
1168,2023-06-01 00:12:03,562,32.77,32.13
1169,2023-06-01 00:12:03,453,32.77,32.13
1170,2023-06-01 00:12:03,630,32.77,32.13
1171,2023-06-01 00:12:03,545,32.77,32.13
1172,2023-06-01 00:12:03,376,32.77,32.13
1173,2023-06-01 00:12:03,520,32.77,32.13
1174,2023-06-01 00:12:03,394,32.77,32.13
1175,2023-06-01 00:12:03,531,32.77,32.13
1176,2023-06-01 00:12:03,597,32.77,32.13
1177,2023-06-01 00:12:03,497,32.77,32.13
1178,2023-06-01 00:12:03,603,32.77,32.13
1179,2023-06-01 00:12:03,427,32.77,32.13
1180,2023-06-01 00:12:03,484,32.77,32.13
1181,2023-06-01 00:12:03,568,32.77,32.13
1182,2023-06-01 00:12:03,369,32.77,32.13
1183,2023-06-01 00:12:03,623,32.77,32.13
1184,2023-06-01 00:12:03,500,32.77,32.13
1185,2023-06-01 00:12:03,580,32.77,32.13
1186,2023-06-01 00:12:03,592,32.77,32.13
1187,2023-06-01 00:12:03,282,32.77,32.13
1188,2023-06-01 00:12:03,606,32.77,32.13
1189,2023-06-01 00:12:03,448,32.77,32.13
1190,2023-06-01 00:12:03,636,32.79,32.13
1191,2023-06-01 00:12:03,470,32.79,32.13
1192,2023-06-01 00:12:03,604,32.79,32.13
1193,2023-06-01 00:12:03,452,32.79,32.13
1194,2023-06-01 00:12:03,333,32.79,32.13
1195,2023-06-01 00:12:03,542,32.79,32.13
1196,2023-06-01 00:12:03,338,32.79,32.13
1197,2023-06-01 00:12:03,609,32.79,32.13
1198,2023-06-01 00:12:03,593,32.79,32.13
1199,2023-06-01 00:12:03,467,32.79,32.13
1200,2023-06-01 00:12:03,602,32.79,32.13
1201,2023-06-01 00:12:03,316,32.79,32.13
1202,2023-06-01 00:12:03,545,32.79,32.13
1203,2023-06-01 00:12:03,553,32.79,32.13
1204,2023-06-01 00:12:03,494,32.79,32.13
1205,2023-06-01 00:12:03,696,32.79,32.13
1206,2023-06-01 00:12:03,435,32.79,32.13
1207,2023-06-01 00:12:03,551,32.79,32.13
1208,2023-06-01 00:12:03,370,32.79,32.13
1209,2023-06-01 00:12:03,433,32.79,32.13
1210,2023-06-01 00:12:03,570,32.79,32.13
1211,2023-06-01 00:12:03,619,32.79,32.13
1212,2023-06-01 00:12:03,638,32.79,32.13
1213,2023-06-01 00:12:03,259,32.79,32.09
1214,2023-06-01 00:12:03,492,32.79,32.09
1215,2023-06-01 00:12:03,261,32.79,32.09
1216,2023-06-01 00:12:03,625,32.79,32.09
1217,2023-06-01 00:12:03,482,32.79,32.09
1218,2023-06-01 00:12:03,488,32.79,32.09
1219,2023-06-01 00:12:03,708,32.79,32.09
1220,2023-06-01 00:12:03,422,32.79,32.09
1221,2023-06-01 00:12:03,514,32.79,32.09
1222,2023-06-01 00:12:03,503,32.79,32.09
1223,2023-06-01 00:12:03,415,32.79,32.09
1224,2023-06-01 00:12:03,600,32.79,32.09
1225,2023-06-01 00:12:03,503,32.79,32.09
1226,2023-06-01 00:12:03,607,32.79,32.09
1227,2023-06-01 00:12:03,596,32.79,32.09
1228,2023-06-01 00:12:03,218,32.79,32.09
1229,2023-06-01 00:12:03,531,32.79,32.09
1230,2023-06-01 00:12:03,280,32.79,32.09
1231,2023-06-01 00:12:03,562,32.79,32.09
1232,2023-06-01 00:12:03,673,32.79,32.09
1233,2023-06-01 00:12:03,548,32.79,32.09
1234,2023-06-01 00:12:03,456,32.79,32.09
1235,2023-06-01 00:12:03,468,32.79,32.09
1236,2023-06-01 00:12:03,499,32.79,32.09
1237,2023-06-01 00:12:03,383,32.79,32.09
1238,2023-06-01 00:12:03,547,32.79,32.09
1239,2023-06-01 00:12:03,650,32.79,32.09
1240,2023-06-01 00:12:03,626,32.79,32.09
1241,2023-06-01 00:12:03,632,32.79,32.09
1242,2023-06-01 00:12:03,208,32.79,32.09
1243,2023-06-01 00:12:03,521,32.79,32.09
1244,2023-06-01 00:12:03,495,32.79,32.09
1245,2023-06-01 00:12:03,534,32.79,32.09
1246,2023-06-01 00:12:03,705,32.79,32.09
1247,2023-06-01 00:12:03,390,32.79,32.09
1248,2023-06-01 00:12:03,621,32.79,32.09
1249,2023-06-01 00:12:03,359,32.77,32.09
1250,2023-06-01 00:12:03,449,32.77,32.09
1251,2023-06-01 00:12:03,573,32.77,32.09
1252,2023-06-01 00:12:03,365,32.77,32.09
1253,2023-06-01 00:12:03,669,32.77,32.09
1254,2023-06-01 00:12:03,429,32.77,32.09
1255,2023-06-01 00:12:03,547,32.77,32.09
1256,2023-06-01 00:12:03,247,32.77,32.09
1257,2023-06-01 00:12:03,508,32.77,32.09
1258,2023-06-01 00:12:03,452,32.77,32.09
1259,2023-06-01 00:12:03,432,32.77,32.09
1260,2023-06-01 00:12:03,687,32.77,32.09
1261,2023-06-01 00:12:03,451,32.77,32.09
1262,2023-06-01 00:12:03,564,32.77,32.09
1263,2023-06-01 00:12:03,503,32.77,32.09
1264,2023-06-01 00:12:03,361,32.77,32.09
1265,2023-06-01 00:12:03,608,32.77,32.09
1266,2023-06-01 00:12:03,386,32.77,32.09
1267,2023-06-01 00:12:03,687,32.77,32.09
1268,2023-06-01 00:12:03,607,32.77,32.09
1269,2023-06-01 00:12:03,445,32.77,32.09
1270,2023-06-01 00:12:03,489,32.77,32.09
1271,2023-06-01 00:12:03,315,32.77,32.09
1272,2023-06-01 00:12:03,545,32.77,32.21
1273,2023-06-01 00:12:03,378,32.77,32.21
1274,2023-06-01 00:12:03,597,32.77,32.21
1275,2023-06-01 00:12:03,615,32.77,32.21
1276,2023-06-01 00:12:03,395,32.77,32.21
1277,2023-06-01 00:12:03,453,32.77,32.21
1278,2023-06-01 00:12:03,271,32.77,32.21
1279,2023-06-01 00:12:03,642,32.77,32.21
1280,2023-06-01 00:12:03,399,32.77,32.21
1281,2023-06-01 00:12:03,665,32.77,32.21
1282,2023-06-01 00:12:03,612,32.77,32.21
1283,2023-06-01 00:12:03,429,32.77,32.21
1284,2023-06-01 00:12:03,524,32.77,32.21
1285,2023-06-01 00:12:03,360,32.77,32.21
1286,2023-06-01 00:12:03,540,32.77,32.21
1287,2023-06-01 00:12:03,570,32.77,32.21
1288,2023-06-01 00:12:03,480,32.77,32.21
1289,2023-06-01 00:12:03,584,32.77,32.21
1290,2023-06-01 00:12:03,286,32.77,32.21
1291,2023-06-01 00:12:03,491,32.77,32.21
1292,2023-06-01 00:12:03,522,32.77,32.21
1293,2023-06-01 00:12:03,389,32.77,32.21
1294,2023-06-01 00:12:03,596,32.77,32.21
1295,2023-06-01 00:12:03,498,32.77,32.21
1296,2023-06-01 00:12:03,581,32.77,32.21
1297,2023-06-01 00:12:03,597,32.77,32.21
1298,2023-06-01 00:12:03,314,32.77,32.21
1299,2023-06-01 00:12:03,577,32.77,32.21
1300,2023-06-01 00:12:03,450,32.77,32.21
1301,2023-06-01 00:12:03,617,32.77,32.21
1302,2023-06-01 00:12:03,486,32.77,32.21
1303,2023-06-01 00:12:03,598,32.77,32.21
1304,2023-06-01 00:12:03,453,32.77,32.21
1305,2023-06-01 00:12:03,354,32.77,32.21
1306,2023-06-01 00:12:03,549,32.77,32.21
1307,2023-06-01 00:12:03,268,32.77,32.21
1308,2023-06-01 00:12:03,643,32.77,32.21
1309,2023-06-01 00:12:03,599,32.77,32.21
1310,2023-06-01 00:12:03,448,32.77,32.21
1311,2023-06-01 00:12:03,603,32.77,32.21
1312,2023-06-01 00:12:03,310,32.77,32.21
1313,2023-06-01 00:12:03,554,32.77,32.21
1314,2023-06-01 00:12:03,557,32.77,32.21
1315,2023-06-01 00:12:03,489,32.77,32.21
1316,2023-06-01 00:12:03,708,32.77,32.21
1317,2023-06-01 00:12:03,445,32.77,32.21
1318,2023-06-01 00:12:03,573,32.77,32.21
1319,2023-06-01 00:12:03,354,32.77,32.21
1320,2023-06-01 00:12:03,394,32.77,32.21
1321,2023-06-01 00:12:03,557,32.77,32.21
1322,2023-06-01 00:12:03,583,32.77,32.21
1323,2023-06-01 00:12:03,683,32.77,32.21
1324,2023-06-01 00:12:03,382,32.77,32.21
1325,2023-06-01 00:12:03,635,32.77,32.21
1326,2023-06-01 00:12:03,377,32.77,32.21
1327,2023-06-01 00:12:03,506,32.77,32.21
1328,2023-06-01 00:12:03,575,32.77,32.21
1329,2023-06-01 00:12:03,464,32.77,32.21
1330,2023-06-01 00:12:03,629,32.77,32.21
1331,2023-06-01 00:12:03,435,32.77,32.13
1332,2023-06-01 00:12:03,550,32.77,32.13
1333,2023-06-01 00:12:03,511,32.77,32.13
1334,2023-06-01 00:12:03,380,32.77,32.13
1335,2023-06-01 00:12:03,586,32.77,32.13
1336,2023-06-01 00:12:03,516,32.77,32.13
1337,2023-06-01 00:12:03,589,32.77,32.13
1338,2023-06-01 00:12:03,622,32.77,32.13
1339,2023-06-01 00:12:03,372,32.77,32.13
1340,2023-06-01 00:12:03,525,32.77,32.13
1341,2023-06-01 00:12:03,378,32.77,32.13
1342,2023-06-01 00:12:03,591,32.77,32.13
1343,2023-06-01 00:12:03,680,32.77,32.13
1344,2023-06-01 00:12:03,587,32.77,32.13
1345,2023-06-01 00:12:03,467,32.77,32.13
1346,2023-06-01 00:12:03,401,32.77,32.13
1347,2023-06-01 00:12:03,506,32.77,32.13
1348,2023-06-01 00:12:03,383,32.77,32.13
1349,2023-06-01 00:12:03,561,32.77,32.13
1350,2023-06-01 00:12:03,608,32.77,32.13
1351,2023-06-01 00:12:03,467,32.77,32.13
1352,2023-06-01 00:12:03,505,32.77,32.13
1353,2023-06-01 00:12:03,256,32.77,32.13
1354,2023-06-01 00:12:03,483,32.77,32.13
1355,2023-06-01 00:12:03,554,32.77,32.13
1356,2023-06-01 00:12:03,334,32.77,32.13
1357,2023-06-01 00:12:03,695,32.77,32.13
1358,2023-06-01 00:12:03,471,32.77,32.13
1359,2023-06-01 00:12:03,657,32.77,32.13
1360,2023-06-01 00:12:03,550,32.77,32.13
1361,2023-06-01 00:12:03,326,32.77,32.13
1362,2023-06-01 00:12:03,589,32.77,32.13
1363,2023-06-01 00:12:03,405,32.77,32.13
1364,2023-06-01 00:12:03,662,32.77,32.13
1365,2023-06-01 00:12:03,615,32.77,32.13
1366,2023-06-01 00:12:03,556,32.77,32.13
1367,2023-06-01 00:12:03,243,32.75,32.13
1368,2023-06-01 00:12:03,496,32.75,32.13
1369,2023-06-01 00:12:03,528,32.75,32.13
1370,2023-06-01 00:12:03,434,32.75,32.13
1371,2023-06-01 00:12:03,718,32.75,32.13
1372,2023-06-01 00:12:03,530,32.75,32.13
1373,2023-06-01 00:12:03,554,32.75,32.13
1374,2023-06-01 00:12:03,511,32.75,32.13
1375,2023-06-01 00:12:03,326,32.75,32.13
1376,2023-06-01 00:12:03,590,32.75,32.13
1377,2023-06-01 00:12:03,461,32.75,32.13
1378,2023-06-01 00:12:03,632,32.75,32.13
1379,2023-06-01 00:12:03,609,32.75,32.13
1380,2023-06-01 00:12:03,397,32.75,32.13
1381,2023-06-01 00:12:03,432,32.75,32.13
1382,2023-06-01 00:12:03,372,32.75,32.13
1383,2023-06-01 00:12:03,549,32.75,32.13
1384,2023-06-01 00:12:03,519,32.75,32.13
1385,2023-06-01 00:12:03,492,32.75,32.13
1386,2023-06-01 00:12:03,615,32.75,32.13
1387,2023-06-01 00:12:03,470,32.75,32.13
1388,2023-06-01 00:12:03,435,32.75,32.13
1389,2023-06-01 00:12:03,558,32.75,32.13
1390,2023-06-01 00:12:03,499,32.75,32.11
1391,2023-06-01 00:12:03,463,32.75,32.11
1392,2023-06-01 00:12:03,540,32.75,32.11
1393,2023-06-01 00:12:03,644,32.75,32.11
1394,2023-06-01 00:12:03,411,32.75,32.11
1395,2023-06-01 00:12:03,466,32.75,32.11
1396,2023-06-01 00:12:03,476,32.75,32.11
1397,2023-06-01 00:12:03,354,32.75,32.11
1398,2023-06-01 00:12:03,621,32.75,32.11
1399,2023-06-01 00:12:03,488,32.75,32.11
1400,2023-06-01 00:12:03,543,32.75,32.11
1401,2023-06-01 00:12:03,386,32.75,32.11
1402,2023-06-01 00:12:03,326,32.75,32.11
1403,2023-06-01 00:12:03,564,32.75,32.11
1404,2023-06-01 00:12:03,393,32.75,32.11
1405,2023-06-01 00:12:03,600,32.75,32.11
1406,2023-06-01 00:12:03,657,32.75,32.11
1407,2023-06-01 00:12:03,379,32.75,32.11
1408,2023-06-01 00:12:03,642,32.75,32.11
1409,2023-06-01 00:12:03,333,32.75,32.11
1410,2023-06-01 00:12:03,567,32.75,32.11
1411,2023-06-01 00:12:03,374,32.75,32.11
1412,2023-06-01 00:12:03,611,32.75,32.11
1413,2023-06-01 00:12:03,538,32.75,32.11
1414,2023-06-01 00:12:03,528,32.75,32.11
1415,2023-06-01 00:12:03,562,32.75,32.11
1416,2023-06-01 00:12:03,306,32.75,32.11
1417,2023-06-01 00:12:03,543,32.75,32.11
1418,2023-06-01 00:12:03,383,32.75,32.11
1419,2023-06-01 00:12:03,578,32.75,32.11
1420,2023-06-01 00:12:03,658,32.75,32.11
1421,2023-06-01 00:12:03,405,32.75,32.11
1422,2023-06-01 00:12:03,585,32.75,32.11
1423,2023-06-01 00:12:03,389,32.75,32.11
1424,2023-06-01 00:12:03,477,32.75,32.11
1425,2023-06-01 00:12:03,605,32.75,32.11
1426,2023-06-01 00:12:03,446,32.73,32.11
1427,2023-06-01 00:12:03,671,32.73,32.11
1428,2023-06-01 00:12:03,406,32.73,32.11
1429,2023-06-01 00:12:03,536,32.73,32.11
1430,2023-06-01 00:12:03,511,32.73,32.11
1431,2023-06-01 00:12:03,368,32.73,32.11
1432,2023-06-01 00:12:03,559,32.73,32.11
1433,2023-06-01 00:12:03,475,32.73,32.11
1434,2023-06-01 00:12:03,607,32.73,32.11
1435,2023-06-01 00:12:03,348,32.73,32.11
1436,2023-06-01 00:12:03,562,32.73,32.11
1437,2023-06-01 00:12:03,407,32.73,32.11
1438,2023-06-01 00:12:03,405,32.73,32.11
1439,2023-06-01 00:12:03,578,32.73,32.11
1440,2023-06-01 00:12:03,491,32.73,32.11
1441,2023-06-01 00:12:03,621,32.73,32.11
1442,2023-06-01 00:12:03,537,32.73,32.11
1443,2023-06-01 00:12:03,374,32.73,32.11
1444,2023-06-01 00:12:03,521,32.73,32.11
1445,2023-06-01 00:12:03,420,32.73,32.11
1446,2023-06-01 00:12:03,585,32.73,32.11
1447,2023-06-01 00:12:03,680,32.73,32.11
1448,2023-06-01 00:12:03,424,32.73,32.11
1449,2023-06-01 00:12:03,467,32.73,31.97
1450,2023-06-01 00:12:03,416,32.73,31.97
1451,2023-06-01 00:12:03,496,32.73,31.97
1452,2023-06-01 00:12:03,506,32.73,31.97
1453,2023-06-01 00:12:03,435,32.73,31.97
1454,2023-06-01 00:12:03,713,32.73,31.97
1455,2023-06-01 00:12:03,454,32.73,31.97
1456,2023-06-01 00:12:03,575,32.73,31.97
1457,2023-06-01 00:12:03,325,32.73,31.97
1458,2023-06-01 00:12:03,502,32.73,31.97
1459,2023-06-01 00:12:03,509,32.73,31.97
1460,2023-06-01 00:12:03,491,32.73,31.97
1461,2023-06-01 00:12:03,708,32.73,31.97
1462,2023-06-01 00:12:03,397,32.73,31.97
1463,2023-06-01 00:12:03,621,32.73,31.97
1464,2023-06-01 00:12:03,441,32.73,31.97
1465,2023-06-01 00:12:03,442,32.73,31.97
1466,2023-06-01 00:12:03,603,32.73,31.97
1467,2023-06-01 00:12:03,362,32.73,31.97
1468,2023-06-01 00:12:03,683,32.73,31.97
1469,2023-06-01 00:12:03,573,32.73,31.97
1470,2023-06-01 00:12:03,406,32.73,31.97
1471,2023-06-01 00:12:03,563,32.73,31.97
1472,2023-06-01 00:12:03,326,32.73,31.97
1473,2023-06-01 00:12:03,568,32.73,31.97
1474,2023-06-01 00:12:03,457,32.73,31.97
1475,2023-06-01 00:12:03,595,32.73,31.97
1476,2023-06-01 00:12:03,620,32.73,31.97
1477,2023-06-01 00:12:03,521,32.73,31.97
1478,2023-06-01 00:12:03,358,32.73,31.97
1479,2023-06-01 00:12:03,340,32.73,31.97
1480,2023-06-01 00:12:03,573,32.73,31.97
1481,2023-06-01 00:12:03,365,32.73,31.97
1482,2023-06-01 00:12:03,661,32.73,31.97
1483,2023-06-01 00:12:03,555,32.73,31.97
1484,2023-06-01 00:12:03,399,32.73,31.97
1485,2023-06-01 00:12:03,495,32.75,31.97
1486,2023-06-01 00:12:03,346,32.75,31.97
1487,2023-06-01 00:12:03,556,32.75,31.97
1488,2023-06-01 00:12:03,616,32.75,31.97
1489,2023-06-01 00:12:03,459,32.75,31.97
1490,2023-06-01 00:12:03,598,32.75,31.97
1491,2023-06-01 00:12:03,258,32.75,31.97
1492,2023-06-01 00:12:03,448,32.75,31.97
1493,2023-06-01 00:12:03,537,32.75,31.97
1494,2023-06-01 00:12:03,354,32.75,31.97
1495,2023-06-01 00:12:03,547,32.75,31.97
1496,2023-06-01 00:12:03,533,32.75,31.97
1497,2023-06-01 00:12:03,584,32.75,31.97
1498,2023-06-01 00:12:03,578,32.75,31.97
1499,2023-06-01 00:12:03,323,32.75,31.97
1500,2023-06-01 00:12:03,551,32.75,31.97
1501,2023-06-01 00:12:03,451,32.75,31.97
1502,2023-06-01 00:12:03,617,32.75,31.97
1503,2023-06-01 00:12:03,499,32.75,31.97
1504,2023-06-01 00:12:03,635,32.75,31.97
1505,2023-06-01 00:12:03,445,32.75,31.97
