,º§Æ®Ã³Áü,
[2023/05/31] 20:56:45,108.000000,
[2023/05/31] 20:56:46,139.000000,
[2023/05/31] 20:56:47,110.000000,
[2023/05/31] 20:56:48,106.000000,
[2023/05/31] 20:56:49,109.000000,
[2023/05/31] 20:56:50,114.000000,
[2023/05/31] 20:56:51,108.000000,
[2023/05/31] 20:56:52,112.000000,
[2023/05/31] 20:56:53,109.000000,
[2023/05/31] 20:56:54,111.000000,
[2023/05/31] 20:56:55,100.000000,
[2023/05/31] 20:56:56,113.000000,
[2023/05/31] 20:56:57,106.000000,
[2023/05/31] 20:56:58,109.000000,
[2023/05/31] 20:56:59,102.000000,
[2023/05/31] 20:57:00,115.000000,
[2023/05/31] 20:57:01,118.000000,
[2023/05/31] 20:57:02,129.000000,
[2023/05/31] 20:57:03,110.000000,
[2023/05/31] 20:57:04,114.000000,
[2023/05/31] 20:57:05,107.000000,
[2023/05/31] 20:57:06,100.000000,
[2023/05/31] 20:57:07,119.000000,
[2023/05/31] 20:57:08,109.000000,
[2023/05/31] 20:57:09,106.000000,
[2023/05/31] 20:57:10,885.000000,
[2023/05/31] 20:57:11,110.000000,
[2023/05/31] 20:57:12,106.000000,
[2023/05/31] 20:57:13,154.000000,
[2023/05/31] 20:57:14,112.000000,
[2023/05/31] 20:57:15,104.000000,
[2023/05/31] 20:57:16,106.000000,
[2023/05/31] 20:57:17,119.000000,
[2023/05/31] 20:57:18,113.000000,
[2023/05/31] 20:57:19,111.000000,
[2023/05/31] 20:57:20,109.000000,
[2023/05/31] 20:57:21,102.000000,
[2023/05/31] 20:57:22,114.000000,
[2023/05/31] 20:57:23,119.000000,
[2023/05/31] 20:57:24,104.000000,
[2023/05/31] 20:57:25,107.000000,
[2023/05/31] 20:57:26,128.000000,
[2023/05/31] 20:57:27,112.000000,
[2023/05/31] 20:57:28,102.000000,
[2023/05/31] 20:57:29,121.000000,
[2023/05/31] 20:57:30,108.000000,
[2023/05/31] 20:57:31,99.000000,
[2023/05/31] 20:57:32,114.000000,
[2023/05/31] 20:57:33,106.000000,
[2023/05/31] 20:57:34,112.000000,
[2023/05/31] 20:57:35,106.000000,
[2023/05/31] 20:57:36,106.000000,
[2023/05/31] 20:57:37,106.000000,
[2023/05/31] 20:57:38,114.000000,
[2023/05/31] 20:57:39,107.000000,
[2023/05/31] 20:57:40,99.000000,
[2023/05/31] 20:57:41,113.000000,
[2023/05/31] 20:57:42,108.000000,
[2023/05/31] 20:57:43,105.000000,
[2023/05/31] 20:57:44,116.000000,
[2023/05/31] 20:57:45,109.000000,
[2023/05/31] 20:57:46,109.000000,
[2023/05/31] 20:57:47,106.000000,
[2023/05/31] 20:57:48,113.000000,
[2023/05/31] 20:57:49,110.000000,
[2023/05/31] 20:57:50,122.000000,
[2023/05/31] 20:57:51,101.000000,
[2023/05/31] 20:57:52,116.000000,
[2023/05/31] 20:57:53,104.000000,
[2023/05/31] 20:57:54,113.000000,
[2023/05/31] 20:57:55,113.000000,
[2023/05/31] 20:57:56,108.000000,
[2023/05/31] 20:57:57,106.000000,
[2023/05/31] 20:57:58,113.000000,
[2023/05/31] 20:57:59,107.000000,
[2023/05/31] 20:58:00,127.000000,
[2023/05/31] 20:58:01,101.000000,
[2023/05/31] 20:58:02,107.000000,
[2023/05/31] 20:58:03,123.000000,
[2023/05/31] 20:58:04,115.000000,
[2023/05/31] 20:58:05,110.000000,
[2023/05/31] 20:58:06,99.000000,
[2023/05/31] 20:58:07,108.000000,
[2023/05/31] 20:58:08,103.000000,
[2023/05/31] 20:58:09,105.000000,
[2023/05/31] 20:58:10,109.000000,
[2023/05/31] 20:58:11,102.000000,
[2023/05/31] 20:58:12,119.000000,
[2023/05/31] 20:58:13,100.000000,
[2023/05/31] 20:58:14,102.000000,
[2023/05/31] 20:58:15,123.000000,
[2023/05/31] 20:58:16,108.000000,
[2023/05/31] 20:58:17,107.000000,
[2023/05/31] 20:58:18,921.000000,
[2023/05/31] 20:58:19,105.000000,
[2023/05/31] 20:58:20,103.000000,
[2023/05/31] 20:58:21,406.000000,
[2023/05/31] 20:58:22,118.000000,
[2023/05/31] 20:58:23,104.000000,
[2023/05/31] 20:58:24,101.000000,
[2023/05/31] 20:58:25,115.000000,
[2023/05/31] 20:58:26,117.000000,
[2023/05/31] 20:58:27,110.000000,
[2023/05/31] 20:58:28,99.000000,
[2023/05/31] 20:58:29,100.000000,
[2023/05/31] 20:58:30,121.000000,
[2023/05/31] 20:58:31,108.000000,
[2023/05/31] 20:58:32,114.000000,
[2023/05/31] 20:58:33,104.000000,
[2023/05/31] 20:58:34,152.000000,
[2023/05/31] 20:58:35,114.000000,
[2023/05/31] 20:58:36,108.000000,
[2023/05/31] 20:58:37,106.000000,
[2023/05/31] 20:58:38,98.000000,
[2023/05/31] 20:58:39,115.000000,
[2023/05/31] 20:58:40,110.000000,
[2023/05/31] 20:58:41,108.000000,
[2023/05/31] 20:58:42,106.000000,
[2023/05/31] 20:58:43,115.000000,
[2023/05/31] 20:58:44,110.000000,
[2023/05/31] 20:58:45,102.000000,
[2023/05/31] 20:58:46,106.000000,
[2023/05/31] 20:58:47,100.000000,
[2023/05/31] 20:58:48,115.000000,
[2023/05/31] 20:58:49,137.000000,
[2023/05/31] 20:58:50,104.000000,
[2023/05/31] 20:58:51,105.000000,
[2023/05/31] 20:58:52,110.000000,
[2023/05/31] 20:58:53,100.000000,
[2023/05/31] 20:58:54,111.000000,
[2023/05/31] 20:58:55,119.000000,
[2023/05/31] 20:58:56,111.000000,
[2023/05/31] 20:58:57,116.000000,
[2023/05/31] 20:58:58,141.000000,
[2023/05/31] 20:58:59,109.000000,
[2023/05/31] 20:59:00,108.000000,
[2023/05/31] 20:59:01,106.000000,
[2023/05/31] 20:59:02,119.000000,
[2023/05/31] 20:59:03,115.000000,
[2023/05/31] 20:59:04,109.000000,
[2023/05/31] 20:59:05,109.000000,
[2023/05/31] 20:59:06,108.000000,
[2023/05/31] 20:59:07,118.000000,
[2023/05/31] 20:59:08,109.000000,
[2023/05/31] 20:59:09,111.000000,
[2023/05/31] 20:59:10,98.000000,
[2023/05/31] 20:59:11,138.000000,
[2023/05/31] 20:59:12,113.000000,
[2023/05/31] 20:59:13,110.000000,
[2023/05/31] 20:59:14,112.000000,
[2023/05/31] 20:59:15,109.000000,
[2023/05/31] 20:59:16,2097.000000,
[2023/05/31] 20:59:17,104.000000,
[2023/05/31] 20:59:18,120.000000,
[2023/05/31] 20:59:19,133.000000,
[2023/05/31] 20:59:20,99.000000,
[2023/05/31] 20:59:21,114.000000,
[2023/05/31] 20:59:22,121.000000,
[2023/05/31] 20:59:23,102.000000,
[2023/05/31] 20:59:24,114.000000,
[2023/05/31] 20:59:25,121.000000,
[2023/05/31] 20:59:26,112.000000,
[2023/05/31] 20:59:27,106.000000,
[2023/05/31] 20:59:28,100.000000,
[2023/05/31] 20:59:29,112.000000,
[2023/05/31] 20:59:30,110.000000,
[2023/05/31] 20:59:31,104.000000,
[2023/05/31] 20:59:32,108.000000,
[2023/05/31] 20:59:33,110.000000,
[2023/05/31] 20:59:34,102.000000,
[2023/05/31] 20:59:35,134.000000,
[2023/05/31] 20:59:36,109.000000,
[2023/05/31] 20:59:37,104.000000,
[2023/05/31] 20:59:38,118.000000,
[2023/05/31] 20:59:39,111.000000,
[2023/05/31] 20:59:40,110.000000,
[2023/05/31] 20:59:41,108.000000,
[2023/05/31] 20:59:42,128.000000,
[2023/05/31] 20:59:43,102.000000,
[2023/05/31] 20:59:44,103.000000,
[2023/05/31] 20:59:45,129.000000,
[2023/05/31] 20:59:46,110.000000,
[2023/05/31] 20:59:47,132.000000,
[2023/05/31] 20:59:48,102.000000,
[2023/05/31] 20:59:49,101.000000,
[2023/05/31] 20:59:50,101.000000,
[2023/05/31] 20:59:51,104.000000,
[2023/05/31] 20:59:52,108.000000,
[2023/05/31] 20:59:53,110.000000,
[2023/05/31] 20:59:54,110.000000,
[2023/05/31] 20:59:55,107.000000,
[2023/05/31] 20:59:56,128.000000,
[2023/05/31] 20:59:57,103.000000,
[2023/05/31] 20:59:58,103.000000,
[2023/05/31] 20:59:59,134.000000,
[2023/05/31] 21:00:00,107.000000,
[2023/05/31] 21:00:01,101.000000,
[2023/05/31] 21:00:02,112.000000,
[2023/05/31] 21:00:03,108.000000,
[2023/05/31] 21:00:04,107.000000,
[2023/05/31] 21:00:05,103.000000,
[2023/05/31] 21:00:06,114.000000,
[2023/05/31] 21:00:07,107.000000,
[2023/05/31] 21:00:08,108.000000,
[2023/05/31] 21:00:09,99.000000,
[2023/05/31] 21:00:10,112.000000,
[2023/05/31] 21:00:11,115.000000,
[2023/05/31] 21:00:12,120.000000,
[2023/05/31] 21:00:13,102.000000,
[2023/05/31] 21:00:14,105.000000,
[2023/05/31] 21:00:15,133.000000,
[2023/05/31] 21:00:16,109.000000,
[2023/05/31] 21:00:17,103.000000,
[2023/05/31] 21:00:18,103.000000,
[2023/05/31] 21:00:19,99.000000,
[2023/05/31] 21:00:20,109.000000,
[2023/05/31] 21:00:21,107.000000,
[2023/05/31] 21:00:22,97.000000,
[2023/05/31] 21:00:23,109.000000,
[2023/05/31] 21:00:24,107.000000,
[2023/05/31] 21:00:25,1044.000000,
[2023/05/31] 21:00:26,100.000000,
[2023/05/31] 21:00:27,108.000000,
[2023/05/31] 21:00:28,100.000000,
[2023/05/31] 21:00:29,111.000000,
[2023/05/31] 21:00:30,105.000000,
[2023/05/31] 21:00:31,100.000000,
[2023/05/31] 21:00:32,111.000000,
[2023/05/31] 21:00:33,144.000000,
[2023/05/31] 21:00:34,113.000000,
[2023/05/31] 21:00:35,109.000000,
[2023/05/31] 21:00:36,132.000000,
[2023/05/31] 21:00:37,98.000000,
[2023/05/31] 21:00:38,114.000000,
[2023/05/31] 21:00:39,112.000000,
[2023/05/31] 21:00:40,102.000000,
[2023/05/31] 21:00:41,109.000000,
[2023/05/31] 21:00:42,116.000000,
[2023/05/31] 21:00:43,136.000000,
[2023/05/31] 21:00:44,112.000000,
[2023/05/31] 21:00:45,116.000000,
[2023/05/31] 21:00:46,107.000000,
[2023/05/31] 21:00:47,109.000000,
[2023/05/31] 21:00:48,101.000000,
[2023/05/31] 21:00:49,140.000000,
[2023/05/31] 21:00:50,113.000000,
[2023/05/31] 21:00:51,101.000000,
[2023/05/31] 21:00:52,109.000000,
[2023/05/31] 21:00:53,115.000000,
[2023/05/31] 21:00:54,107.000000,
[2023/05/31] 21:00:55,106.000000,
[2023/05/31] 21:00:56,99.000000,
[2023/05/31] 21:00:57,105.000000,
[2023/05/31] 21:00:58,113.000000,
[2023/05/31] 21:00:59,110.000000,
[2023/05/31] 21:01:00,99.000000,
[2023/05/31] 21:01:01,123.000000,
[2023/05/31] 21:01:02,136.000000,
[2023/05/31] 21:01:03,109.000000,
[2023/05/31] 21:01:04,116.000000,
[2023/05/31] 21:01:05,105.000000,
[2023/05/31] 21:01:06,100.000000,
[2023/05/31] 21:01:07,101.000000,
[2023/05/31] 21:01:08,108.000000,
[2023/05/31] 21:01:09,109.000000,
[2023/05/31] 21:01:10,840.000000,
[2023/05/31] 21:01:11,113.000000,
[2023/05/31] 21:01:12,107.000000,
[2023/05/31] 21:01:13,120.000000,
[2023/05/31] 21:01:14,101.000000,
[2023/05/31] 21:01:15,112.000000,
[2023/05/31] 21:01:16,112.000000,
[2023/05/31] 21:01:17,104.000000,
[2023/05/31] 21:01:18,100.000000,
[2023/05/31] 21:01:19,111.000000,
[2023/05/31] 21:01:20,111.000000,
[2023/05/31] 21:01:21,107.000000,
[2023/05/31] 21:01:22,108.000000,
[2023/05/31] 21:01:23,115.000000,
[2023/05/31] 21:01:24,100.000000,
[2023/05/31] 21:01:25,111.000000,
[2023/05/31] 21:01:26,109.000000,
[2023/05/31] 21:01:27,107.000000,
[2023/05/31] 21:01:28,101.000000,
[2023/05/31] 21:01:29,137.000000,
[2023/05/31] 21:01:30,113.000000,
[2023/05/31] 21:01:31,110.000000,
[2023/05/31] 21:01:32,109.000000,
[2023/05/31] 21:01:33,102.000000,
[2023/05/31] 21:01:34,114.000000,
[2023/05/31] 21:01:35,110.000000,
[2023/05/31] 21:01:36,1033.000000,
[2023/05/31] 21:01:37,100.000000,
[2023/05/31] 21:01:38,106.000000,
[2023/05/31] 21:01:39,100.000000,
[2023/05/31] 21:01:40,112.000000,
[2023/05/31] 21:01:41,124.000000,
[2023/05/31] 21:01:42,129.000000,
[2023/05/31] 21:01:43,102.000000,
[2023/05/31] 21:01:44,100.000000,
[2023/05/31] 21:01:45,102.000000,
[2023/05/31] 21:01:46,100.000000,
[2023/05/31] 21:01:47,106.000000,
[2023/05/31] 21:01:48,122.000000,
[2023/05/31] 21:01:49,119.000000,
[2023/05/31] 21:01:50,112.000000,
[2023/05/31] 21:01:51,99.000000,
[2023/05/31] 21:01:52,114.000000,
[2023/05/31] 21:01:53,116.000000,
[2023/05/31] 21:01:54,102.000000,
[2023/05/31] 21:01:55,108.000000,
[2023/05/31] 21:01:56,113.000000,
[2023/05/31] 21:01:57,109.000000,
[2023/05/31] 21:01:58,927.000000,
[2023/05/31] 21:01:59,114.000000,
[2023/05/31] 21:02:00,109.000000,
[2023/05/31] 21:02:01,108.000000,
[2023/05/31] 21:02:02,106.000000,
[2023/05/31] 21:02:03,109.000000,
[2023/05/31] 21:02:04,97.000000,
[2023/05/31] 21:02:05,118.000000,
[2023/05/31] 21:02:06,101.000000,
[2023/05/31] 21:02:07,110.000000,
[2023/05/31] 21:02:08,105.000000,
[2023/05/31] 21:02:09,136.000000,
[2023/05/31] 21:02:10,112.000000,
[2023/05/31] 21:02:11,108.000000,
[2023/05/31] 21:02:12,119.000000,
[2023/05/31] 21:02:13,113.000000,
[2023/05/31] 21:02:14,112.000000,
[2023/05/31] 21:02:15,131.000000,
[2023/05/31] 21:02:16,99.000000,
[2023/05/31] 21:02:17,111.000000,
[2023/05/31] 21:02:18,115.000000,
[2023/05/31] 21:02:19,111.000000,
[2023/05/31] 21:02:20,105.000000,
[2023/05/31] 21:02:21,117.000000,
[2023/05/31] 21:02:22,137.000000,
[2023/05/31] 21:02:23,107.000000,
[2023/05/31] 21:02:24,108.000000,
[2023/05/31] 21:02:25,99.000000,
[2023/05/31] 21:02:26,108.000000,
[2023/05/31] 21:02:27,115.000000,
[2023/05/31] 21:02:28,115.000000,
[2023/05/31] 21:02:29,113.000000,
[2023/05/31] 21:02:30,121.000000,
[2023/05/31] 21:02:31,115.000000,
[2023/05/31] 21:02:32,111.000000,
[2023/05/31] 21:02:33,1054.000000,
[2023/05/31] 21:02:34,101.000000,
[2023/05/31] 21:02:35,109.000000,
[2023/05/31] 21:02:36,142.000000,
[2023/05/31] 21:02:37,99.000000,
[2023/05/31] 21:02:38,114.000000,
[2023/05/31] 21:02:39,108.000000,
[2023/05/31] 21:02:40,105.000000,
[2023/05/31] 21:02:41,104.000000,
[2023/05/31] 21:02:42,114.000000,
[2023/05/31] 21:02:43,110.000000,
[2023/05/31] 21:02:44,105.000000,
[2023/05/31] 21:02:45,105.000000,
[2023/05/31] 21:02:46,145.000000,
[2023/05/31] 21:02:47,108.000000,
[2023/05/31] 21:02:48,108.000000,
[2023/05/31] 21:02:49,122.000000,
[2023/05/31] 21:02:50,105.000000,
[2023/05/31] 21:02:51,104.000000,
[2023/05/31] 21:02:52,124.000000,
[2023/05/31] 21:02:53,161.000000,
[2023/05/31] 21:02:54,100.000000,
[2023/05/31] 21:02:55,115.000000,
[2023/05/31] 21:02:56,115.000000,
[2023/05/31] 21:02:57,106.000000,
[2023/05/31] 21:02:58,101.000000,
[2023/05/31] 21:02:59,105.000000,
[2023/05/31] 21:03:00,98.000000,
[2023/05/31] 21:03:01,118.000000,
[2023/05/31] 21:03:02,137.000000,
[2023/05/31] 21:03:03,99.000000,
[2023/05/31] 21:03:04,103.000000,
[2023/05/31] 21:03:05,141.000000,
[2023/05/31] 21:03:06,111.000000,
[2023/05/31] 21:03:07,109.000000,
[2023/05/31] 21:03:08,106.000000,
[2023/05/31] 21:03:09,104.000000,
[2023/05/31] 21:03:10,121.000000,
[2023/05/31] 21:03:11,110.000000,
[2023/05/31] 21:03:12,111.000000,
[2023/05/31] 21:03:13,109.000000,
[2023/05/31] 21:03:14,99.000000,
[2023/05/31] 21:03:15,111.000000,
[2023/05/31] 21:03:16,108.000000,
[2023/05/31] 21:03:17,109.000000,
[2023/05/31] 21:03:18,98.000000,
[2023/05/31] 21:03:19,118.000000,
[2023/05/31] 21:03:20,104.000000,
[2023/05/31] 21:03:21,113.000000,
[2023/05/31] 21:03:22,109.000000,
[2023/05/31] 21:03:23,107.000000,
[2023/05/31] 21:03:24,101.000000,
[2023/05/31] 21:03:25,118.000000,
[2023/05/31] 21:03:26,136.000000,
[2023/05/31] 21:03:27,107.000000,
[2023/05/31] 21:03:28,102.000000,
[2023/05/31] 21:03:29,654.000000,
[2023/05/31] 21:03:30,109.000000,
[2023/05/31] 21:03:31,106.000000,
[2023/05/31] 21:03:32,112.000000,
[2023/05/31] 21:03:33,109.000000,
[2023/05/31] 21:03:34,105.000000,
[2023/05/31] 21:03:35,111.000000,
[2023/05/31] 21:03:36,117.000000,
[2023/05/31] 21:03:37,108.000000,
[2023/05/31] 21:03:38,106.000000,
[2023/05/31] 21:03:39,120.000000,
[2023/05/31] 21:03:40,104.000000,
[2023/05/31] 21:03:41,115.000000,
[2023/05/31] 21:03:42,127.000000,
[2023/05/31] 21:03:43,107.000000,
[2023/05/31] 21:03:44,126.000000,
[2023/05/31] 21:03:45,107.000000,
[2023/05/31] 21:03:46,100.000000,
[2023/05/31] 21:03:47,144.000000,
[2023/05/31] 21:03:48,100.000000,
[2023/05/31] 21:03:49,108.000000,
[2023/05/31] 21:03:50,138.000000,
[2023/05/31] 21:03:51,100.000000,
[2023/05/31] 21:03:52,107.000000,
[2023/05/31] 21:03:53,102.000000,
[2023/05/31] 21:03:54,115.000000,
[2023/05/31] 21:03:55,108.000000,
[2023/05/31] 21:03:56,117.000000,
[2023/05/31] 21:03:57,99.000000,
[2023/05/31] 21:03:58,114.000000,
[2023/05/31] 21:03:59,115.000000,
[2023/05/31] 21:04:00,141.000000,
[2023/05/31] 21:04:01,99.000000,
[2023/05/31] 21:04:02,108.000000,
[2023/05/31] 21:04:03,123.000000,
[2023/05/31] 21:04:04,105.000000,
[2023/05/31] 21:04:05,104.000000,
[2023/05/31] 21:04:06,128.000000,
[2023/05/31] 21:04:07,116.000000,
[2023/05/31] 21:04:08,114.000000,
[2023/05/31] 21:04:09,115.000000,
[2023/05/31] 21:04:10,107.000000,
[2023/05/31] 21:04:11,104.000000,
[2023/05/31] 21:04:12,142.000000,
[2023/05/31] 21:04:13,105.000000,
[2023/05/31] 21:04:14,102.000000,
[2023/05/31] 21:04:15,106.000000,
[2023/05/31] 21:04:16,135.000000,
[2023/05/31] 21:04:17,108.000000,
[2023/05/31] 21:04:18,109.000000,
[2023/05/31] 21:04:19,113.000000,
[2023/05/31] 21:04:20,99.000000,
[2023/05/31] 21:04:21,110.000000,
[2023/05/31] 21:04:22,110.000000,
[2023/05/31] 21:04:23,106.000000,
[2023/05/31] 21:04:24,110.000000,
[2023/05/31] 21:04:25,108.000000,
[2023/05/31] 21:04:26,99.000000,
[2023/05/31] 21:04:27,129.000000,
[2023/05/31] 21:04:28,111.000000,
[2023/05/31] 21:04:29,106.000000,
[2023/05/31] 21:04:30,102.000000,
[2023/05/31] 21:04:31,116.000000,
[2023/05/31] 21:04:32,106.000000,
[2023/05/31] 21:04:33,103.000000,
[2023/05/31] 21:04:34,103.000000,
[2023/05/31] 21:04:35,108.000000,
[2023/05/31] 21:04:36,179.000000,
[2023/05/31] 21:04:37,103.000000,
[2023/05/31] 21:04:38,112.000000,
[2023/05/31] 21:04:39,110.000000,
[2023/05/31] 21:04:40,126.000000,
[2023/05/31] 21:04:41,109.000000,
[2023/05/31] 21:04:42,100.000000,
[2023/05/31] 21:04:43,114.000000,
[2023/05/31] 21:04:44,107.000000,
[2023/05/31] 21:04:45,100.000000,
[2023/05/31] 21:04:46,117.000000,
[2023/05/31] 21:04:47,107.000000,
[2023/05/31] 21:04:48,103.000000,
[2023/05/31] 21:04:49,119.000000,
[2023/05/31] 21:04:50,111.000000,
[2023/05/31] 21:04:51,108.000000,
[2023/05/31] 21:04:52,106.000000,
[2023/05/31] 21:04:53,140.000000,
[2023/05/31] 21:04:54,100.000000,
[2023/05/31] 21:04:55,112.000000,
[2023/05/31] 21:04:56,108.000000,
[2023/05/31] 21:04:57,106.000000,
[2023/05/31] 21:04:58,102.000000,
[2023/05/31] 21:04:59,108.000000,
[2023/05/31] 21:05:00,100.000000,
[2023/05/31] 21:05:01,117.000000,
[2023/05/31] 21:05:02,104.000000,
[2023/05/31] 21:05:03,118.000000,
