.9,28.65
605,29.69,28.89
365,29.69,28.89
551,29.69,28.89
276,29.69,28.89
492,29.69,28.89
703,29.69,28.89
544,29.69,28.89
609,29.69,28.89
632,29.69,28.89
480,29.69,28.89
403,29.69,28.89
631,29.69,28.89
287,29.67,28.89
607,29.67,28.89
233,29.67,28.89
656,29.67,28.89
357,29.67,28.89
729,29.67,28.89
363,29.67,28.89
573,29.67,28.89
493,29.67,28.89
131,29.67,28.89
567,29.67,28.89
591,29.67,28.89
821,29.67,28.89
825,29.67,28.89
633,29.67,28.89
794,29.67,28.89
660,29.67,28.89
515,29.67,28.89
666,29.67,28.89
321,29.67,28.89
860,29.67,28.89
405,29.67,28.89
251,29.67,28.89
383,29.67,28.89
130,29.67,29.03
880,29.67,29.03
336,29.67,29.03
806,29.67,29.03
415,29.67,29.03
565,29.67,29.03
891,29.67,29.03
413,29.67,29.03
481,29.67,29.03
586,29.67,29.03
478,29.67,29.03
608,29.67,29.03
674,29.67,29.03
131,29.67,29.03
801,29.67,29.03
452,29.67,29.03
454,29.67,29.03
559,29.67,29.03
508,29.67,29.03
530,29.67,29.03
679,29.67,29.03
783,29.67,29.03
589,29.67,29.03
506,29.67,29.03
132,29.67,29.03
469,29.67,29.03
270,29.67,29.03
487,29.67,29.03
516,29.67,29.03
646,29.67,29.03
576,29.67,29.03
435,29.67,29.03
476,29.67,29.03
199,29.67,29.03
791,29.67,29.03
340,29.67,29.03
601,29.71,29.03
426,29.71,29.03
272,29.71,29.03
221,29.71,29.03
746,29.71,29.03
347,29.71,29.03
755,29.71,29.03
130,29.71,29.03
564,29.71,29.03
695,29.71,29.03
181,29.71,29.03
744,29.71,29.03
257,29.71,29.03
534,29.71,29.03
599,29.71,29.03
419,29.71,29.03
839,29.71,29.03
792,29.71,29.03
580,29.71,29.03
741,29.71,29.03
217,29.71,29.03
264,29.71,29.03
673,29.71,29.03
131,29.71,28.97
609,29.71,28.97
474,29.71,28.97
612,29.71,28.97
691,29.71,28.97
569,29.71,28.97
680,29.71,28.97
456,29.71,28.97
732,29.71,28.97
325,29.71,28.97
394,29.71,28.97
740,29.71,28.97
430,29.71,28.97
446,29.71,28.97
325,29.71,28.97
498,29.71,28.97
593,29.71,28.97
210,29.71,28.97
654,29.71,28.97
207,29.71,28.97
640,29.71,28.97
581,29.71,28.97
431,29.71,28.97
556,29.71,28.97
422,29.71,28.97
