,º§Æ®Ã³Áü,
[2023/06/01] 16:07:07,165.000000,
[2023/06/01] 16:07:08,166.000000,
[2023/06/01] 16:07:09,170.000000,
[2023/06/01] 16:07:10,167.000000,
[2023/06/01] 16:07:11,150.000000,
[2023/06/01] 16:07:12,158.000000,
[2023/06/01] 16:07:13,174.000000,
[2023/06/01] 16:07:14,149.000000,
[2023/06/01] 16:07:15,155.000000,
[2023/06/01] 16:07:16,170.000000,
[2023/06/01] 16:07:17,164.000000,
[2023/06/01] 16:07:18,159.000000,
[2023/06/01] 16:07:19,172.000000,
[2023/06/01] 16:07:20,160.000000,
[2023/06/01] 16:07:21,171.000000,
[2023/06/01] 16:07:22,184.000000,
[2023/06/01] 16:07:23,153.000000,
[2023/06/01] 16:07:24,162.000000,
[2023/06/01] 16:07:25,181.000000,
[2023/06/01] 16:07:26,153.000000,
[2023/06/01] 16:07:27,158.000000,
[2023/06/01] 16:07:28,171.000000,
[2023/06/01] 16:07:29,151.000000,
[2023/06/01] 16:07:30,161.000000,
[2023/06/01] 16:07:31,186.000000,
[2023/06/01] 16:07:32,149.000000,
[2023/06/01] 16:07:33,188.000000,
[2023/06/01] 16:07:34,161.000000,
[2023/06/01] 16:07:35,179.000000,
[2023/06/01] 16:07:36,159.000000,
[2023/06/01] 16:07:37,165.000000,
[2023/06/01] 16:07:38,188.000000,
[2023/06/01] 16:07:39,160.000000,
[2023/06/01] 16:07:40,163.000000,
[2023/06/01] 16:07:41,192.000000,
[2023/06/01] 16:07:42,149.000000,
[2023/06/01] 16:07:43,162.000000,
[2023/06/01] 16:07:44,185.000000,
[2023/06/01] 16:07:45,172.000000,
[2023/06/01] 16:07:46,158.000000,
[2023/06/01] 16:07:47,168.000000,
[2023/06/01] 16:07:48,162.000000,
[2023/06/01] 16:07:49,160.000000,
[2023/06/01] 16:07:50,170.000000,
[2023/06/01] 16:07:51,722.000000,
[2023/06/01] 16:07:52,158.000000,
[2023/06/01] 16:07:53,175.000000,
[2023/06/01] 16:07:54,152.000000,
[2023/06/01] 16:07:55,155.000000,
[2023/06/01] 16:07:56,158.000000,
[2023/06/01] 16:07:57,162.000000,
[2023/06/01] 16:07:58,182.000000,
[2023/06/01] 16:07:59,152.000000,
[2023/06/01] 16:08:00,157.000000,
[2023/06/01] 16:08:01,167.000000,
[2023/06/01] 16:08:02,149.000000,
[2023/06/01] 16:08:03,153.000000,
[2023/06/01] 16:08:04,168.000000,
[2023/06/01] 16:08:05,146.000000,
[2023/06/01] 16:08:06,162.000000,
[2023/06/01] 16:08:07,170.000000,
[2023/06/01] 16:08:08,175.000000,
[2023/06/01] 16:08:09,154.000000,
[2023/06/01] 16:08:10,154.000000,
[2023/06/01] 16:08:11,165.000000,
[2023/06/01] 16:08:12,149.000000,
[2023/06/01] 16:08:13,159.000000,
[2023/06/01] 16:08:14,165.000000,
[2023/06/01] 16:08:15,146.000000,
[2023/06/01] 16:08:16,155.000000,
[2023/06/01] 16:08:17,161.000000,
[2023/06/01] 16:08:18,161.000000,
[2023/06/01] 16:08:19,171.000000,
[2023/06/01] 16:08:20,165.000000,
[2023/06/01] 16:08:21,155.000000,
[2023/06/01] 16:08:22,164.000000,
[2023/06/01] 16:08:23,168.000000,
[2023/06/01] 16:08:24,156.000000,
[2023/06/01] 16:08:25,156.000000,
[2023/06/01] 16:08:26,160.000000,
[2023/06/01] 16:08:27,188.000000,
[2023/06/01] 16:08:28,147.000000,
[2023/06/01] 16:08:29,149.000000,
[2023/06/01] 16:08:30,155.000000,
[2023/06/01] 16:08:31,166.000000,
[2023/06/01] 16:08:32,185.000000,
[2023/06/01] 16:08:33,155.000000,
[2023/06/01] 16:08:34,159.000000,
[2023/06/01] 16:08:35,176.000000,
[2023/06/01] 16:08:36,151.000000,
[2023/06/01] 16:08:37,159.000000,
[2023/06/01] 16:08:38,170.000000,
[2023/06/01] 16:08:39,149.000000,
[2023/06/01] 16:08:40,193.000000,
[2023/06/01] 16:08:41,153.000000,
[2023/06/01] 16:08:42,159.000000,
[2023/06/01] 16:08:43,184.000000,
[2023/06/01] 16:08:44,151.000000,
[2023/06/01] 16:08:45,158.000000,
[2023/06/01] 16:08:46,164.000000,
[2023/06/01] 16:08:47,151.000000,
[2023/06/01] 16:08:48,155.000000,
[2023/06/01] 16:08:49,178.000000,
[2023/06/01] 16:08:50,151.000000,
[2023/06/01] 16:08:51,156.000000,
[2023/06/01] 16:08:52,171.000000,
[2023/06/01] 16:08:53,155.000000,
[2023/06/01] 16:08:54,161.000000,
[2023/06/01] 16:08:55,150.000000,
[2023/06/01] 16:08:56,164.000000,
[2023/06/01] 16:08:57,188.000000,
[2023/06/01] 16:08:58,154.000000,
[2023/06/01] 16:08:59,176.000000,
[2023/06/01] 16:09:00,159.000000,
[2023/06/01] 16:09:01,155.000000,
[2023/06/01] 16:09:02,171.000000,
[2023/06/01] 16:09:03,178.000000,
[2023/06/01] 16:09:04,149.000000,
[2023/06/01] 16:09:05,162.000000,
[2023/06/01] 16:09:06,183.000000,
[2023/06/01] 16:09:07,189.000000,
[2023/06/01] 16:09:08,156.000000,
[2023/06/01] 16:09:09,159.000000,
[2023/06/01] 16:09:10,179.000000,
[2023/06/01] 16:09:11,148.000000,
[2023/06/01] 16:09:12,155.000000,
[2023/06/01] 16:09:13,181.000000,
[2023/06/01] 16:09:14,734.000000,
[2023/06/01] 16:09:15,166.000000,
[2023/06/01] 16:09:16,182.000000,
[2023/06/01] 16:09:17,150.000000,
[2023/06/01] 16:09:18,153.000000,
[2023/06/01] 16:09:19,167.000000,
[2023/06/01] 16:09:20,167.000000,
[2023/06/01] 16:09:21,196.000000,
[2023/06/01] 16:09:22,155.000000,
[2023/06/01] 16:09:23,166.000000,
[2023/06/01] 16:09:24,178.000000,
[2023/06/01] 16:09:25,144.000000,
[2023/06/01] 16:09:26,156.000000,
[2023/06/01] 16:09:27,985.000000,
[2023/06/01] 16:09:28,150.000000,
[2023/06/01] 16:09:29,159.000000,
[2023/06/01] 16:09:30,171.000000,
[2023/06/01] 16:09:31,150.000000,
[2023/06/01] 16:09:32,162.000000,
[2023/06/01] 16:09:33,160.000000,
[2023/06/01] 16:09:34,169.000000,
[2023/06/01] 16:09:35,148.000000,
[2023/06/01] 16:09:36,158.000000,
[2023/06/01] 16:09:37,185.000000,
[2023/06/01] 16:09:38,153.000000,
[2023/06/01] 16:09:39,149.000000,
[2023/06/01] 16:09:40,157.000000,
[2023/06/01] 16:09:41,173.000000,
[2023/06/01] 16:09:42,149.000000,
[2023/06/01] 16:09:43,162.000000,
[2023/06/01] 16:09:44,184.000000,
[2023/06/01] 16:09:45,150.000000,
[2023/06/01] 16:09:46,189.000000,
[2023/06/01] 16:09:47,160.000000,
[2023/06/01] 16:09:48,170.000000,
[2023/06/01] 16:09:49,174.000000,
[2023/06/01] 16:09:50,154.000000,
[2023/06/01] 16:09:51,160.000000,
[2023/06/01] 16:09:52,168.000000,
[2023/06/01] 16:09:53,151.000000,
[2023/06/01] 16:09:54,171.000000,
[2023/06/01] 16:09:55,148.000000,
[2023/06/01] 16:09:56,159.000000,
[2023/06/01] 16:09:57,180.000000,
[2023/06/01] 16:09:58,170.000000,
[2023/06/01] 16:09:59,151.000000,
[2023/06/01] 16:10:00,160.000000,
[2023/06/01] 16:10:01,168.000000,
[2023/06/01] 16:10:02,186.000000,
[2023/06/01] 16:10:03,150.000000,
[2023/06/01] 16:10:04,164.000000,
[2023/06/01] 16:10:05,189.000000,
[2023/06/01] 16:10:06,151.000000,
[2023/06/01] 16:10:07,159.000000,
[2023/06/01] 16:10:08,162.000000,
[2023/06/01] 16:10:09,188.000000,
[2023/06/01] 16:10:10,149.000000,
[2023/06/01] 16:10:11,165.000000,
[2023/06/01] 16:10:12,187.000000,
[2023/06/01] 16:10:13,150.000000,
[2023/06/01] 16:10:14,160.000000,
[2023/06/01] 16:10:15,175.000000,
[2023/06/01] 16:10:16,151.000000,
[2023/06/01] 16:10:17,157.000000,
[2023/06/01] 16:10:18,166.000000,
[2023/06/01] 16:10:19,165.000000,
[2023/06/01] 16:10:20,180.000000,
[2023/06/01] 16:10:21,152.000000,
[2023/06/01] 16:10:22,161.000000,
[2023/06/01] 16:10:23,179.000000,
[2023/06/01] 16:10:24,156.000000,
[2023/06/01] 16:10:25,167.000000,
[2023/06/01] 16:10:26,153.000000,
[2023/06/01] 16:10:27,161.000000,
[2023/06/01] 16:10:28,176.000000,
[2023/06/01] 16:10:29,149.000000,
[2023/06/01] 16:10:30,156.000000,
[2023/06/01] 16:10:31,152.000000,
[2023/06/01] 16:10:32,154.000000,
[2023/06/01] 16:10:33,151.000000,
[2023/06/01] 16:10:34,160.000000,
[2023/06/01] 16:10:35,167.000000,
[2023/06/01] 16:10:36,145.000000,
[2023/06/01] 16:10:37,153.000000,
[2023/06/01] 16:10:38,160.000000,
[2023/06/01] 16:10:39,177.000000,
[2023/06/01] 16:10:40,151.000000,
[2023/06/01] 16:10:41,160.000000,
[2023/06/01] 16:10:42,186.000000,
[2023/06/01] 16:10:43,150.000000,
[2023/06/01] 16:10:44,193.000000,
[2023/06/01] 16:10:45,159.000000,
[2023/06/01] 16:10:46,182.000000,
[2023/06/01] 16:10:47,150.000000,
[2023/06/01] 16:10:48,156.000000,
[2023/06/01] 16:10:49,180.000000,
[2023/06/01] 16:10:50,154.000000,
[2023/06/01] 16:10:51,166.000000,
[2023/06/01] 16:10:52,180.000000,
[2023/06/01] 16:10:53,151.000000,
[2023/06/01] 16:10:54,160.000000,
[2023/06/01] 16:10:55,191.000000,
[2023/06/01] 16:10:56,170.000000,
[2023/06/01] 16:10:57,167.000000,
[2023/06/01] 16:10:58,157.000000,
[2023/06/01] 16:10:59,167.000000,
[2023/06/01] 16:11:00,150.000000,
[2023/06/01] 16:11:01,159.000000,
[2023/06/01] 16:11:02,172.000000,
[2023/06/01] 16:11:03,148.000000,
[2023/06/01] 16:11:04,157.000000,
[2023/06/01] 16:11:05,171.000000,
[2023/06/01] 16:11:06,172.000000,
[2023/06/01] 16:11:07,156.000000,
[2023/06/01] 16:11:08,152.000000,
[2023/06/01] 16:11:09,172.000000,
[2023/06/01] 16:11:10,170.000000,
[2023/06/01] 16:11:11,160.000000,
[2023/06/01] 16:11:12,169.000000,
[2023/06/01] 16:11:13,148.000000,
[2023/06/01] 16:11:14,162.000000,
[2023/06/01] 16:11:15,189.000000,
[2023/06/01] 16:11:16,153.000000,
[2023/06/01] 16:11:17,163.000000,
[2023/06/01] 16:11:18,182.000000,
[2023/06/01] 16:11:19,177.000000,
[2023/06/01] 16:11:20,150.000000,
[2023/06/01] 16:11:21,156.000000,
[2023/06/01] 16:11:22,185.000000,
[2023/06/01] 16:11:23,149.000000,
[2023/06/01] 16:11:24,186.000000,
[2023/06/01] 16:11:25,145.000000,
[2023/06/01] 16:11:26,169.000000,
[2023/06/01] 16:11:27,152.000000,
[2023/06/01] 16:11:28,159.000000,
[2023/06/01] 16:11:29,179.000000,
[2023/06/01] 16:11:30,147.000000,
[2023/06/01] 16:11:31,161.000000,
[2023/06/01] 16:11:32,155.000000,
[2023/06/01] 16:11:33,180.000000,
[2023/06/01] 16:11:34,155.000000,
[2023/06/01] 16:11:35,155.000000,
[2023/06/01] 16:11:36,184.000000,
[2023/06/01] 16:11:37,146.000000,
[2023/06/01] 16:11:38,160.000000,
[2023/06/01] 16:11:39,171.000000,
[2023/06/01] 16:11:40,173.000000,
[2023/06/01] 16:11:41,155.000000,
[2023/06/01] 16:11:42,161.000000,
[2023/06/01] 16:11:43,149.000000,
[2023/06/01] 16:11:44,150.000000,
[2023/06/01] 16:11:45,152.000000,
[2023/06/01] 16:11:46,170.000000,
[2023/06/01] 16:11:47,149.000000,
[2023/06/01] 16:11:48,162.000000,
[2023/06/01] 16:11:49,174.000000,
[2023/06/01] 16:11:50,150.000000,
[2023/06/01] 16:11:51,167.000000,
