,º§Æ®Ã³Áü,
[2023/06/01] 01:51:48,114.000000,
[2023/06/01] 01:51:49,116.000000,
[2023/06/01] 01:51:50,111.000000,
[2023/06/01] 01:51:51,129.000000,
[2023/06/01] 01:51:52,104.000000,
[2023/06/01] 01:51:53,102.000000,
[2023/06/01] 01:51:54,125.000000,
[2023/06/01] 01:51:55,107.000000,
[2023/06/01] 01:51:56,104.000000,
[2023/06/01] 01:51:57,104.000000,
[2023/06/01] 01:51:58,102.000000,
[2023/06/01] 01:51:59,103.000000,
[2023/06/01] 01:52:00,101.000000,
[2023/06/01] 01:52:01,111.000000,
[2023/06/01] 01:52:02,109.000000,
[2023/06/01] 01:52:03,105.000000,
[2023/06/01] 01:52:04,106.000000,
[2023/06/01] 01:52:05,109.000000,
[2023/06/01] 01:52:06,99.000000,
[2023/06/01] 01:52:07,120.000000,
[2023/06/01] 01:52:08,106.000000,
[2023/06/01] 01:52:09,98.000000,
[2023/06/01] 01:52:10,98.000000,
[2023/06/01] 01:52:11,120.000000,
[2023/06/01] 01:52:12,108.000000,
[2023/06/01] 01:52:13,106.000000,
[2023/06/01] 01:52:14,118.000000,
[2023/06/01] 01:52:15,109.000000,
[2023/06/01] 01:52:16,108.000000,
[2023/06/01] 01:52:17,111.000000,
[2023/06/01] 01:52:18,102.000000,
[2023/06/01] 01:52:19,111.000000,
[2023/06/01] 01:52:20,107.000000,
[2023/06/01] 01:52:21,107.000000,
[2023/06/01] 01:52:22,104.000000,
[2023/06/01] 01:52:23,110.000000,
[2023/06/01] 01:52:24,108.000000,
[2023/06/01] 01:52:25,103.000000,
[2023/06/01] 01:52:26,132.000000,
[2023/06/01] 01:52:27,112.000000,
[2023/06/01] 01:52:28,141.000000,
[2023/06/01] 01:52:29,104.000000,
[2023/06/01] 01:52:30,109.000000,
[2023/06/01] 01:52:31,120.000000,
[2023/06/01] 01:52:32,107.000000,
[2023/06/01] 01:52:33,110.000000,
[2023/06/01] 01:52:34,103.000000,
[2023/06/01] 01:52:35,117.000000,
[2023/06/01] 01:52:36,126.000000,
[2023/06/01] 01:52:37,107.000000,
[2023/06/01] 01:52:38,103.000000,
[2023/06/01] 01:52:39,130.000000,
[2023/06/01] 01:52:40,113.000000,
[2023/06/01] 01:52:41,108.000000,
[2023/06/01] 01:52:42,145.000000,
[2023/06/01] 01:52:43,105.000000,
[2023/06/01] 01:52:44,120.000000,
[2023/06/01] 01:52:45,110.000000,
[2023/06/01] 01:52:46,99.000000,
[2023/06/01] 01:52:47,120.000000,
[2023/06/01] 01:52:48,112.000000,
[2023/06/01] 01:52:49,101.000000,
[2023/06/01] 01:52:50,125.000000,
[2023/06/01] 01:52:51,121.000000,
[2023/06/01] 01:52:52,106.000000,
[2023/06/01] 01:52:53,114.000000,
[2023/06/01] 01:52:54,115.000000,
[2023/06/01] 01:52:55,101.000000,
[2023/06/01] 01:52:56,107.000000,
[2023/06/01] 01:52:57,103.000000,
[2023/06/01] 01:52:58,101.000000,
[2023/06/01] 01:52:59,109.000000,
[2023/06/01] 01:53:00,116.000000,
[2023/06/01] 01:53:01,107.000000,
[2023/06/01] 01:53:02,116.000000,
[2023/06/01] 01:53:03,108.000000,
[2023/06/01] 01:53:04,109.000000,
[2023/06/01] 01:53:05,109.000000,
[2023/06/01] 01:53:06,108.000000,
[2023/06/01] 01:53:07,114.000000,
[2023/06/01] 01:53:08,112.000000,
[2023/06/01] 01:53:09,104.000000,
[2023/06/01] 01:53:10,106.000000,
[2023/06/01] 01:53:11,100.000000,
[2023/06/01] 01:53:12,102.000000,
[2023/06/01] 01:53:13,101.000000,
[2023/06/01] 01:53:14,99.000000,
[2023/06/01] 01:53:15,117.000000,
[2023/06/01] 01:53:16,112.000000,
[2023/06/01] 01:53:17,110.000000,
[2023/06/01] 01:53:18,106.000000,
[2023/06/01] 01:53:19,103.000000,
[2023/06/01] 01:53:20,161.000000,
[2023/06/01] 01:53:21,106.000000,
[2023/06/01] 01:53:22,98.000000,
[2023/06/01] 01:53:23,111.000000,
[2023/06/01] 01:53:24,108.000000,
[2023/06/01] 01:53:25,99.000000,
[2023/06/01] 01:53:26,109.000000,
[2023/06/01] 01:53:27,116.000000,
[2023/06/01] 01:53:28,97.000000,
[2023/06/01] 01:53:29,102.000000,
[2023/06/01] 01:53:30,109.000000,
[2023/06/01] 01:53:31,122.000000,
[2023/06/01] 01:53:32,101.000000,
[2023/06/01] 01:53:33,117.000000,
[2023/06/01] 01:53:34,110.000000,
[2023/06/01] 01:53:35,103.000000,
[2023/06/01] 01:53:36,103.000000,
[2023/06/01] 01:53:37,112.000000,
[2023/06/01] 01:53:38,116.000000,
[2023/06/01] 01:53:39,109.000000,
[2023/06/01] 01:53:40,115.000000,
[2023/06/01] 01:53:41,99.000000,
[2023/06/01] 01:53:42,103.000000,
[2023/06/01] 01:53:43,143.000000,
[2023/06/01] 01:53:44,114.000000,
[2023/06/01] 01:53:45,112.000000,
[2023/06/01] 01:53:46,110.000000,
[2023/06/01] 01:53:47,113.000000,
[2023/06/01] 01:53:48,142.000000,
[2023/06/01] 01:53:49,125.000000,
[2023/06/01] 01:53:50,112.000000,
[2023/06/01] 01:53:51,132.000000,
[2023/06/01] 01:53:52,106.000000,
[2023/06/01] 01:53:53,112.000000,
[2023/06/01] 01:53:54,120.000000,
[2023/06/01] 01:53:55,111.000000,
[2023/06/01] 01:53:56,108.000000,
[2023/06/01] 01:53:57,109.000000,
[2023/06/01] 01:53:58,108.000000,
[2023/06/01] 01:53:59,99.000000,
[2023/06/01] 01:54:00,117.000000,
[2023/06/01] 01:54:01,108.000000,
[2023/06/01] 01:54:02,110.000000,
[2023/06/01] 01:54:03,98.000000,
[2023/06/01] 01:54:04,131.000000,
[2023/06/01] 01:54:05,125.000000,
[2023/06/01] 01:54:06,127.000000,
[2023/06/01] 01:54:07,123.000000,
[2023/06/01] 01:54:08,106.000000,
[2023/06/01] 01:54:09,104.000000,
[2023/06/01] 01:54:10,111.000000,
[2023/06/01] 01:54:11,107.000000,
[2023/06/01] 01:54:12,117.000000,
[2023/06/01] 01:54:13,105.000000,
[2023/06/01] 01:54:14,100.000000,
[2023/06/01] 01:54:15,137.000000,
[2023/06/01] 01:54:16,105.000000,
[2023/06/01] 01:54:17,105.000000,
[2023/06/01] 01:54:18,137.000000,
[2023/06/01] 01:54:19,755.000000,
[2023/06/01] 01:54:20,96.000000,
[2023/06/01] 01:54:21,152.000000,
[2023/06/01] 01:54:22,336.000000,
